51040,1,tttt,10/26/2017 16:21:52 下午,Passed,10/26/2017 16:21:01 下午,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,49415,Passed,"",basic.init,
"Launch Browser: Chrome 61.0.3163.100",,16587,Passed,"",basic.step,
"Think: 0 (sec).",,55,Passed,"",basic.comment,
"[1] 百度一下，你就知道 (/www.baidu.com/)",,20759,Passed,"",basic.stepGroup,
"Navigate http://www.baidu.com/",107,560,Passed,"",ft.action,
"WaitForPage http://www.baidu.com/",108,9584,Passed,"",web.pageComplete,
"Think: 2.646 (sec).",,2762,Passed,"",basic.comment,
"Click element(""@index='0'"")",109,203,Passed,"",ft.action,
"Think: 0.672 (sec).",,773,Passed,"",basic.comment,
"Click button(""@id='su'"")",110,196,Passed,"",ft.action,
"Think: 1.119 (sec).",,1175,Passed,"",basic.comment,
"Click textBox(""@id='kw'"")",111,198,Passed,"",ft.action,
"Think: 0.413 (sec).",,460,Passed,"",basic.comment,
"SetText textBox(""@id='kw'"") 123",112,71,Passed,"",ft.action,
"Think: 1.002 (sec).",,1069,Passed,"",basic.comment,
"Click button(""@id='su'"")",113,228,Passed,"",ft.action,
"Think: 0 (sec).",,41,Passed,"",basic.comment,
"[2] 百度一下，你就知道 (/www.baidu.com/)",,10110,Passed,"",basic.stepGroup,
"WaitForPage http://www.baidu.com/s?ie=utf-8&f=8&rsv_bp=0&rsv_idx=1&tn=baidu&wd=123&rsv_pq=d8b024ff000087d4&rsv_t=ae933PBSnr%2F9Q2KMD2yJuoNM1J26YRbtLtlecJ0H2rwcm0rDCCd45yen3Ls&rqlang=cn&rsv_enter=0&rsv_sug3=2&inputT=1535&rsv_sug4=2070",114,4770,Passed,"",web.pageComplete,
"Think: 4.702 (sec).",,4730,Passed,"",basic.comment,
"closeBrowser",115,91,Passed,"",ft.action,
"Iteration Total (sec)",,126,Passed,"",basic.iteration,
"Finish Total (sec)",,140,Passed,"",basic.finish,
